SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
sm,USA,1775000,465000,4,0,0,0,0,0,0,0,8,-8,0,0,0,0,0,0,0,0,0,0,3,5,-7
sm,USA,1775000,440000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,-12,12,-18,0
sm,USA,1775000,415000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,-21,11,-9,-2
sm,USA,1775000,390000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-10,9,-7,-4
sm,USA,1800000,515000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,-8,10,-19
sm,USA,1800000,490000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,86,-36,-58
sm,USA,1800000,465000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-2,-2,0
sm,USA,1800000,440000,5,0,0,0,0,0,0,0,0,3,-3,0,0,0,0,0,0,0,17,-11,17,-22,-1
sm,USA,1800000,415000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,-7,4,-13,-2
sm,USA,1800000,390000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,-6,18,-27,-2
sm,USA,1800000,365000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,1,-1
sm,USA,1825000,540000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,-13
sm,USA,1825000,515000,7,0,0,0,1,-1,0,0,2,-2,0,0,0,0,0,0,0,0,12,24,444,-439,-29
sm,USA,1825000,490000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,99,407,-398,-110
sm,USA,1825000,465000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,75,195,-224,-62
sm,USA,1825000,440000,5,0,0,0,0,0,0,0,0,4,-4,0,0,0,0,0,0,0,15,-12,106,-80,-29
sm,USA,1825000,415000,10,0,0,0,0,0,0,2,-2,259,-241,14,-9,-23,0,0,0,0,126,-44,204,-271,-9
sm,USA,1825000,390000,6,0,0,0,0,0,0,0,0,265,-265,0,0,0,0,0,0,5,95,6,109,-214,-1
sm,USA,1825000,340000,3,0,0,0,0,0,0,0,0,0,0,34,-34,0,0,0,0,0,0,26,-9,-17,0
sm,USA,1825000,315000,4,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,5,28,-30,-3,0
sm,USA,1850000,615000,3,0,0,0,4,6,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
sm,USA,1850000,515000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,-1,-20
sm,USA,1850000,490000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,282,-252,-49
sm,USA,1850000,465000,6,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,7,28,238,-236,-22
sm,USA,1850000,440000,7,0,0,0,1,-1,0,0,0,18,-18,0,0,0,0,0,0,0,64,22,241,-213,-109
sm,USA,1850000,415000,9,0,0,0,0,0,0,0,0,272,-269,20,-20,-3,0,0,0,0,70,21,320,-354,-55
sm,USA,1850000,390000,6,0,0,0,0,0,0,0,0,157,-155,-2,0,0,0,0,0,0,133,-70,96,-140,-19
sm,USA,1875000,690000,3,0,0,3,6,-5,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm,USA,1875000,615000,4,0,0,0,12,9,-21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-3,-1
sm,USA,1875000,515000,7,11,-11,0,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,8,52,339,-321,-75
sm,USA,1875000,490000,9,21,-16,4,11,-20,0,0,0,0,0,0,0,0,0,0,0,0,12,221,333,-510,-54
sm,USA,1875000,465000,8,0,0,5,28,-33,0,0,0,0,6,-6,0,0,0,0,0,0,21,379,52,-381,-70
sm,USA,1875000,440000,5,0,0,0,0,0,0,0,0,0,27,-27,0,0,0,0,0,0,41,257,78,-268,-108
sm,USA,1875000,415000,6,0,0,0,0,0,0,0,0,30,-30,0,0,0,0,0,0,0,40,82,113,-188,-41
sm,USA,1875000,390000,4,0,0,0,0,0,0,0,0,6,-6,0,0,0,0,0,0,0,4,-4,10,-10,1
sm,USA,1900000,690000,3,0,0,2,25,38,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm,USA,1900000,590000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,73,-25,-55
sm,USA,1900000,565000,7,3,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,48,-31,-22
sm,USA,1900000,540000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,-2,-1
sm,USA,1900000,515000,7,0,5,-5,0,0,0,0,0,1,1,-2,0,0,0,0,0,0,5,47,165,-157,-60
sm,USA,1900000,490000,11,1,-1,33,7,-40,0,0,3,14,-12,-5,0,0,0,0,0,0,10,149,310,-446,-21
sm,USA,1900000,465000,9,0,0,6,37,-43,0,0,1,10,-8,-3,0,0,0,0,0,0,12,86,169,-259,-8
